20
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1
1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1
5,5,5,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
5,0,0,5,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
5,0,0,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
5,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1
5,0,0,6,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
5,0,0,5,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1
5,5,5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1
1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#1,18
